index,xindex,yindex,ComputedRawWantedStageX(pulse),ComputedRawWantedStageY(pulse),AdjByCalibDataWantedStageX(pulse),AdjByCalibDataWantedStageY(pulse),ResultReadBackStageX(pulse),ResultReadBackStageY(pulse),foundX(pulse),foundY(pulse),CompMinusAdjX(pulse),CompMinusAdjY(pulse),ResultMinusFoundX(pulse),ResultMinusFoundY(pulse),AdjMinusFoundX(pulse),AdjMinusFoundY(pulse),flagsX(pulse),flagsY(pulse),encoderX,encoderY,case,fx,fy,umx,umy,xrate,yrate,xminus,yminus,xi0po,xi0mo,xi1po,xi1mo,yi0po,yi0mo,yi1po,yi1mo,xi0,xi1,yi0,yi1,x00,x10,y00,y01,fromX,fromY,TempCh1,TempCh2,TempCh3,TempCh4
0,-13,-13,2666248,338692,2666248,338692,2666248,338692,2666511,338820,0,0,-260,-121,-263,-128,0,0,-2666249,-338675,1,2666248,338692,-130000,-130000,0,0,True,True,False,False,False,True,False,False,False,True,-13,-14,-13,-14,0,0,0,0,0,0,0,0,0,0
27,-13,-12,2666248,438692,2666501,438824,2666501,438824,2666496,438830,-253,-132,6,0,5,-6,0,0,-2666502,-438806,2,2666501,438824,-130000,-120000,0,0,True,True,False,False,False,True,False,False,False,False,-13,-14,-12,-13,0,0,0,0,0,0,0,0,0,0
54,-13,-11,2666248,538692,2666494,538835,2666494,538835,2666494,538838,-246,-143,1,0,0,-3,0,0,-2666495,-538818,2,2666494,538835,-130000,-110000,0,0,True,True,False,False,False,True,False,False,False,False,-13,-14,-11,-12,0,0,0,0,0,0,0,0,0,0
81,-13,-10,2666248,638692,2666487,638834,2666487,638834,2666487,638843,-239,-142,5,0,0,-9,0,0,-2666488,-638817,2,2666487,638834,-130000,-100000,0,0,True,True,False,False,False,True,False,False,False,False,-13,-14,-10,-11,0,0,0,0,0,0,0,0,0,0
108,-13,-9,2666248,738692,2666477,738823,2666477,738823,2666477,738835,-229,-131,5,0,0,-12,0,0,-2666478,-738806,2,2666477,738823,-130000,-90000,0,0,True,True,False,False,False,True,False,False,False,False,-13,-14,-9,-10,0,0,0,0,0,0,0,0,0,0
135,-13,-8,2666248,838692,2666468,838811,2666468,838811,2666470,838822,-220,-119,4,0,-2,-11,0,0,-2666469,-838795,2,2666468,838811,-130000,-80000,0,0,True,True,False,False,False,True,False,False,False,False,-13,-14,-8,-9,0,0,0,0,0,0,0,0,0,0
162,-13,-7,2666248,938692,2666458,938812,2666458,938812,2666459,938824,-210,-120,5,0,-1,-12,0,0,-2666459,-938795,2,2666458,938812,-130000,-70000,0,0,True,True,False,False,False,True,False,False,False,False,-13,-14,-7,-8,0,0,0,0,0,0,0,0,0,0
189,-13,-6,2666248,1038692,2666450,1038824,2666450,1038824,2666453,1038834,-202,-132,2,0,-3,-10,0,0,-2666451,-1038806,2,2666450,1038824,-130000,-60000,0,0,True,True,False,False,False,True,False,False,False,False,-13,-14,-6,-7,0,0,0,0,0,0,0,0,0,0
216,-13,-5,2666248,1138692,2666444,1138825,2666444,1138825,2666445,1138836,-196,-133,4,0,-1,-11,0,0,-2666445,-1138807,2,2666444,1138825,-130000,-50000,0,0,True,True,False,False,False,True,False,False,False,False,-13,-14,-5,-6,0,0,0,0,0,0,0,0,0,0
243,-13,-4,2666248,1238692,2666438,1238819,2666438,1238819,2666439,1238827,-190,-127,1,0,-1,-8,0,0,-2666439,-1238802,2,2666438,1238819,-130000,-40000,0,0,True,True,False,False,False,True,False,False,False,False,-13,-14,-4,-5,0,0,0,0,0,0,0,0,0,0
