time,whatdir,dieX,dieY,commandedX,commandedY,foundX,foundY,diffX,diffY,tch1,tch2,tch3,tch4
20180525-180057,1,-3,3,2278688,2277868,2278665,2277874,23,-6,0.000,0.000,0.000,0.000
20180525-180102,2,-2,3,1952439,2277834,1952420,2277846,19,-12,0.000,0.000,0.000,0.000
20180525-180107,3,-1,3,1626281,2277812,1626253,2277814,28,-2,0.000,0.000,0.000,0.000
20180525-180112,4,0,3,1300130,2277806,1300110,2277800,20,6,0.000,0.000,0.000,0.000
20180525-180116,5,1,3,973948,2277815,973936,2277806,12,9,0.000,0.000,0.000,0.000
20180525-180122,6,2,3,647773,2277825,647756,2277818,17,7,0.000,0.000,0.000,0.000
20180525-180126,7,3,3,321525,2277820,321515,2277819,10,1,0.000,0.000,0.000,0.000
20180525-180138,8,-3,2,2278674,2019069,2278656,2019068,18,1,0.000,0.000,0.000,0.000
20180525-180143,9,-2,2,1952429,2019035,1952407,2019041,22,-6,0.000,0.000,0.000,0.000
20180525-180148,10,-1,2,1626268,2019011,1626250,2019015,18,-4,0.000,0.000,0.000,0.000
20180525-180152,11,0,2,1300108,2019005,1300106,2018995,2,10,0.000,0.000,0.000,0.000
20180525-180157,12,1,2,973923,2019011,973911,2019009,12,2,0.000,0.000,0.000,0.000
20180525-180202,13,2,2,647741,2019023,647739,2019022,2,1,0.000,0.000,0.000,0.000
20180525-180207,14,3,2,321494,2019016,321494,2019021,0,-5,0.000,0.000,0.000,0.000
20180525-180219,15,-3,1,2278677,1760290,2278654,1760292,23,-2,0.000,0.000,0.000,0.000
20180525-180224,16,-2,1,1952437,1760253,1952414,1760263,23,-10,0.000,0.000,0.000,0.000
20180525-180229,17,-1,1,1626274,1760230,1626248,1760233,26,-3,0.000,0.000,0.000,0.000
20180525-180234,18,0,1,1300114,1760221,1300094,1760214,20,7,0.000,0.000,0.000,0.000
20180525-180239,19,1,1,973924,1760229,973900,1760226,24,3,0.000,0.000,0.000,0.000
20180525-180244,20,2,1,647743,1760239,647725,1760235,18,4,0.000,0.000,0.000,0.000
20180525-180248,21,3,1,321491,1760233,321480,1760234,11,-1,0.000,0.000,0.000,0.000
20180525-180300,22,-3,0,2278682,1501513,2278659,1501512,23,1,0.000,0.000,0.000,0.000
20180525-180305,23,-2,0,1952444,1501481,1952422,1501488,22,-7,0.000,0.000,0.000,0.000
20180525-180310,24,-1,0,1626281,1501454,1626259,1501459,22,-5,0.000,0.000,0.000,0.000
20180525-180314,25,0,0,1300115,1501446,1300107,1501438,8,8,0.000,0.000,0.000,0.000
20180525-180319,26,1,0,973923,1501454,973903,1501446,20,8,0.000,0.000,0.000,0.000
20180525-180324,27,2,0,647741,1501464,647734,1501451,7,13,0.000,0.000,0.000,0.000
20180525-180329,28,3,0,321491,1501452,321484,1501452,7,0,0.000,0.000,0.000,0.000
20180525-180340,29,-3,-1,2278696,1242768,2278676,1242770,20,-2,0.000,0.000,0.000,0.000
20180525-180345,30,-2,-1,1952463,1242734,1952438,1242738,25,-4,0.000,0.000,0.000,0.000
20180525-180350,31,-1,-1,1626300,1242708,1626280,1242712,20,-4,0.000,0.000,0.000,0.000
20180525-180355,32,0,-1,1300132,1242699,1300119,1242695,13,4,0.000,0.000,0.000,0.000
20180525-180400,33,1,-1,973933,1242704,973914,1242708,19,-4,0.000,0.000,0.000,0.000
20180525-180405,34,2,-1,647744,1242718,647727,1242715,17,3,0.000,0.000,0.000,0.000
20180525-180410,35,3,-1,321493,1242704,321480,1242707,13,-3,0.000,0.000,0.000,0.000
20180525-180421,36,-3,-2,2278708,984004,2278690,984005,18,-1,0.000,0.000,0.000,0.000
20180525-180426,37,-2,-2,1952478,983969,1952470,983980,8,-11,0.000,0.000,0.000,0.000
20180525-180431,38,-1,-2,1626310,983941,1626304,983951,6,-10,0.000,0.000,0.000,0.000
20180525-180436,39,0,-2,1300139,983933,1300139,983943,0,-10,0.000,0.000,0.000,0.000
20180525-180440,40,1,-2,973936,983943,973913,983955,23,-12,0.000,0.000,0.000,0.000
20180525-180445,41,2,-2,647751,983953,647734,983950,17,3,0.000,0.000,0.000,0.000
20180525-180450,42,3,-2,321499,983943,321488,983951,11,-8,0.000,0.000,0.000,0.000
20180525-180502,43,-3,-3,2278730,725235,2278708,725243,22,-8,0.000,0.000,0.000,0.000
20180525-180507,44,-2,-3,1952503,725194,1952487,725208,16,-14,0.000,0.000,0.000,0.000
20180525-180511,45,-1,-3,1626330,725168,1626302,725189,28,-21,0.000,0.000,0.000,0.000
20180525-180516,46,0,-3,1300148,725163,1300137,725176,11,-13,0.000,0.000,0.000,0.000
20180525-180521,47,1,-3,973938,725173,973921,725175,17,-2,0.000,0.000,0.000,0.000
20180525-180526,48,2,-3,647749,725179,647729,725189,20,-10,0.000,0.000,0.000,0.000
20180525-180531,49,3,-3,321499,725176,321480,725191,19,-15,0.000,0.000,0.000,0.000
