time,whatdir,dieX,dieY,commandedX,commandedY,foundX,foundY,diffX,diffY,tch1,tch2,tch3,tch4
20180525-164449,1,-3,3,2278638,2277688,2278606,2277686,32,2,0.000,0.000,0.000,0.000
20180525-164452,2,-2,3,1952479,2277654,1952456,2277657,23,-3,0.000,0.000,0.000,0.000
20180525-164455,3,-1,3,1626413,2277632,1626391,2277632,22,0,0.000,0.000,0.000,0.000
20180525-164458,4,0,3,1300353,2277625,1300343,2277618,10,7,0.000,0.000,0.000,0.000
20180525-164501,5,1,3,974262,2277634,974250,2277625,12,9,0.000,0.000,0.000,0.000
20180525-164504,6,2,3,648178,2277645,648179,2277625,-1,20,0.000,0.000,0.000,0.000
20180525-164507,7,3,3,322022,2277640,322034,2277623,-12,17,0.000,0.000,0.000,0.000
20180525-164517,8,-3,2,2278623,2018963,2278600,2018963,23,0,0.000,0.000,0.000,0.000
20180525-164520,9,-2,2,1952470,2018929,1952457,2018935,13,-6,0.000,0.000,0.000,0.000
20180525-164523,10,-1,2,1626399,2018905,1626388,2018905,11,0,0.000,0.000,0.000,0.000
20180525-164526,11,0,2,1300331,2018898,1300331,2018895,0,3,0.000,0.000,0.000,0.000
20180525-164529,12,1,2,974237,2018904,974229,2018901,8,3,0.000,0.000,0.000,0.000
20180525-164532,13,2,2,648146,2018916,648154,2018901,-8,15,0.000,0.000,0.000,0.000
20180525-164535,14,3,2,321991,2018909,322010,2018900,-19,9,0.000,0.000,0.000,0.000
20180525-164544,15,-3,1,2278627,1760257,2278600,1760265,27,-8,0.000,0.000,0.000,0.000
20180525-164548,16,-2,1,1952478,1760220,1952461,1760234,17,-14,0.000,0.000,0.000,0.000
20180525-164551,17,-1,1,1626406,1760198,1626392,1760200,14,-2,0.000,0.000,0.000,0.000
20180525-164553,18,0,1,1300337,1760188,1300335,1760188,2,0,0.000,0.000,0.000,0.000
20180525-164556,19,1,1,974238,1760196,974228,1760194,10,2,0.000,0.000,0.000,0.000
20180525-164559,20,2,1,648148,1760206,648148,1760193,0,13,0.000,0.000,0.000,0.000
20180525-164602,21,3,1,321988,1760200,322005,1760191,-17,9,0.000,0.000,0.000,0.000
20180525-164612,22,-3,0,2278631,1501554,2278606,1501561,25,-7,0.000,0.000,0.000,0.000
20180525-164615,23,-2,0,1952485,1501522,1952471,1501531,14,-9,0.000,0.000,0.000,0.000
20180525-164618,24,-1,0,1626413,1501495,1626399,1501496,14,-1,0.000,0.000,0.000,0.000
20180525-164621,25,0,0,1300338,1501487,1300338,1501486,0,1,0.000,0.000,0.000,0.000
20180525-164624,26,1,0,974237,1501495,974227,1501487,10,8,0.000,0.000,0.000,0.000
20180525-164627,27,2,0,648147,1501505,648147,1501485,0,20,0.000,0.000,0.000,0.000
20180525-164630,28,3,0,321988,1501493,322007,1501482,-19,11,0.000,0.000,0.000,0.000
20180525-164639,29,-3,-1,2278645,1242883,2278626,1242892,19,-9,0.000,0.000,0.000,0.000
20180525-164642,30,-2,-1,1952504,1242848,1952496,1242860,8,-12,0.000,0.000,0.000,0.000
20180525-164645,31,-1,-1,1626431,1242823,1626419,1242826,12,-3,0.000,0.000,0.000,0.000
20180525-164648,32,0,-1,1300355,1242814,1300354,1242814,1,0,0.000,0.000,0.000,0.000
20180525-164651,33,1,-1,974247,1242819,974238,1242819,9,0,0.000,0.000,0.000,0.000
20180525-164654,34,2,-1,648149,1242833,648151,1242817,-2,16,0.000,0.000,0.000,0.000
20180525-164657,35,3,-1,321990,1242818,322011,1242816,-21,2,0.000,0.000,0.000,0.000
20180525-164707,36,-3,-2,2278657,984193,2278644,984204,13,-11,0.000,0.000,0.000,0.000
20180525-164710,37,-2,-2,1952519,984157,1952518,984172,1,-15,0.000,0.000,0.000,0.000
20180525-164713,38,-1,-2,1626441,984130,1626441,984137,0,-7,0.000,0.000,0.000,0.000
20180525-164716,39,0,-2,1300362,984122,1300366,984127,-4,-5,0.000,0.000,0.000,0.000
20180525-164719,40,1,-2,974250,984131,974250,984131,0,0,0.000,0.000,0.000,0.000
20180525-164722,41,2,-2,648156,984142,648164,984131,-8,11,0.000,0.000,0.000,0.000
20180525-164725,42,3,-2,321995,984132,322019,984130,-24,2,0.000,0.000,0.000,0.000
20180525-164734,43,-3,-3,2278680,725497,2278666,725510,14,-13,0.000,0.000,0.000,0.000
20180525-164737,44,-2,-3,1952543,725456,1952542,725478,1,-22,0.000,0.000,0.000,0.000
20180525-164740,45,-1,-3,1626462,725431,1626460,725441,2,-10,0.000,0.000,0.000,0.000
20180525-164743,46,0,-3,1300371,725425,1300375,725427,-4,-2,0.000,0.000,0.000,0.000
20180525-164746,47,1,-3,974252,725435,974252,725435,0,0,0.000,0.000,0.000,0.000
20180525-164749,48,2,-3,648155,725441,648166,725437,-11,4,0.000,0.000,0.000,0.000
20180525-164752,49,3,-3,321996,725438,322020,725438,-24,0,0.000,0.000,0.000,0.000
