time,whatdir,dieX,dieY,commandedX,commandedY,foundX,foundY,diffX,diffY,tch1,tch2,tch3,tch4
20180523-162023,1,-3,3,2284144,2277769,2284097,2277769,47,0,0.000,0.000,0.000,0.000
20180523-162028,2,-2,3,1957986,2277746,1957953,2277735,33,11,0.000,0.000,0.000,0.000
20180523-162033,3,-1,3,1631933,2277703,1631902,2277710,31,-7,0.000,0.000,0.000,0.000
20180523-162038,4,0,3,1305864,2277705,1305854,2277703,10,2,0.000,0.000,0.000,0.000
20180523-162043,5,1,3,979803,2277729,979768,2277710,35,19,0.000,0.000,0.000,0.000
20180523-162048,6,2,3,653708,2277754,653689,2277717,19,37,0.000,0.000,0.000,0.000
20180523-162053,7,3,3,327551,2277747,327546,2277712,5,35,0.000,0.000,0.000,0.000
20180523-162107,8,-3,2,2284142,2019032,2284089,2019053,53,-21,0.000,0.000,0.000,0.000
20180523-162113,9,-2,2,1957986,2019006,1957961,2019016,25,-10,0.000,0.000,0.000,0.000
20180523-162118,10,-1,2,1631923,2018985,1631910,2018988,13,-3,0.000,0.000,0.000,0.000
20180523-162123,11,0,2,1305843,2018988,1305851,2018982,-8,6,0.000,0.000,0.000,0.000
20180523-162128,12,1,2,979781,2019013,979758,2018991,23,22,0.000,0.000,0.000,0.000
20180523-162133,13,2,2,653684,2019036,653672,2018999,12,37,0.000,0.000,0.000,0.000
20180523-162138,14,3,2,327528,2019032,327522,2018995,6,37,0.000,0.000,0.000,0.000
20180523-162152,15,-3,1,2284120,1760345,2284095,1760354,25,-9,0.000,0.000,0.000,0.000
20180523-162157,16,-2,1,1957991,1760322,1957970,1760320,21,2,0.000,0.000,0.000,0.000
20180523-162202,17,-1,1,1631930,1760298,1631919,1760290,11,8,0.000,0.000,0.000,0.000
20180523-162207,18,0,1,1305841,1760269,1305856,1760280,-15,-11,0.000,0.000,0.000,0.000
20180523-162212,19,1,1,979783,1760295,979757,1760291,26,4,0.000,0.000,0.000,0.000
20180523-162217,20,2,1,653684,1760320,653667,1760296,17,24,0.000,0.000,0.000,0.000
20180523-162222,21,3,1,327529,1760322,327518,1760289,11,33,0.000,0.000,0.000,0.000
20180523-162236,22,-3,0,2284141,1501645,2284100,1501658,41,-13,0.000,0.000,0.000,0.000
20180523-162241,23,-2,0,1957996,1501620,1957985,1501620,11,0,0.000,0.000,0.000,0.000
20180523-162246,24,-1,0,1631932,1501599,1631928,1501591,4,8,0.000,0.000,0.000,0.000
20180523-162251,25,0,0,1305862,1501595,1305861,1501582,1,13,0.000,0.000,0.000,0.000
20180523-162257,26,1,0,979782,1501597,979753,1501592,29,5,0.000,0.000,0.000,0.000
20180523-162302,27,2,0,653684,1501622,653666,1501598,18,24,0.000,0.000,0.000,0.000
20180523-162307,28,3,0,327529,1501621,327513,1501585,16,36,0.000,0.000,0.000,0.000
20180523-162321,29,-3,-1,2284144,1242968,2284122,1242997,22,-29,0.000,0.000,0.000,0.000
20180523-162326,30,-2,-1,1958020,1242921,1957999,1242963,21,-42,0.000,0.000,0.000,0.000
20180523-162331,31,-1,-1,1631957,1242922,1631946,1242926,11,-4,0.000,0.000,0.000,0.000
20180523-162336,32,0,-1,1305868,1242922,1305875,1242920,-7,2,0.000,0.000,0.000,0.000
20180523-162341,33,1,-1,979784,1242918,979762,1242926,22,-8,0.000,0.000,0.000,0.000
20180523-162346,34,2,-1,653681,1242942,653673,1242931,8,11,0.000,0.000,0.000,0.000
20180523-162351,35,3,-1,327525,1242942,327517,1242921,8,21,0.000,0.000,0.000,0.000
20180523-162405,36,-3,-2,2284170,984273,2284134,984308,36,-35,0.000,0.000,0.000,0.000
20180523-162410,37,-2,-2,1958037,984251,1958018,984263,19,-12,0.000,0.000,0.000,0.000
20180523-162415,38,-1,-2,1631965,984230,1631958,984241,7,-11,0.000,0.000,0.000,0.000
20180523-162420,39,0,-2,1305866,984230,1305887,984230,-21,0,0.000,0.000,0.000,0.000
20180523-162425,40,1,-2,979784,984224,979767,984237,17,-13,0.000,0.000,0.000,0.000
20180523-162430,41,2,-2,653683,984249,653671,984243,12,6,0.000,0.000,0.000,0.000
20180523-162435,42,3,-2,327520,984254,327514,984235,6,19,0.000,0.000,0.000,0.000
20180523-162449,43,-3,-3,2284185,725587,2284150,725624,35,-37,0.000,0.000,0.000,0.000
20180523-162454,44,-2,-3,1958057,725563,1958036,725585,21,-22,0.000,0.000,0.000,0.000
20180523-162500,45,-1,-3,1631980,725541,1631970,725553,10,-12,0.000,0.000,0.000,0.000
20180523-162505,46,0,-3,1305885,725536,1305886,725542,-1,-6,0.000,0.000,0.000,0.000
20180523-162510,47,1,-3,979761,725538,979761,725550,0,-12,0.000,0.000,0.000,0.000
20180523-162515,48,2,-3,653659,725564,653659,725560,0,4,0.000,0.000,0.000,0.000
20180523-162520,49,3,-3,327495,725565,327494,725548,1,17,0.000,0.000,0.000,0.000
